"Type of Private Accommodation","Province County or City","CensusYear","Statistic Label","UNIT","VALUE"
"Non-private","Cork","1936","Number of Households","Number",""
"Non-private","Cork","1936","Number of Persons Resident","Number","22048"
"Non-private","Cork","1946","Number of Households","Number",""
"Non-private","Cork","1946","Number of Persons Resident","Number","22546"
"Non-private","Cork","1961","Number of Households","Number",""
"Non-private","Cork","1961","Number of Persons Resident","Number","16173"
"Non-private","Cork","1966","Number of Households","Number",""
"Non-private","Cork","1966","Number of Persons Resident","Number","15759"
"Non-private","Cork","1971","Number of Households","Number",""
"Non-private","Cork","1971","Number of Persons Resident","Number","12516"
"Non-private","Cork","1979","Number of Households","Number","409"
"Non-private","Cork","1979","Number of Persons Resident","Number","12605"
"Non-private","Cork","1981","Number of Households","Number","364"
"Non-private","Cork","1981","Number of Persons Resident","Number","12577"
"Non-private","Cork","1986","Number of Households","Number","403"
"Non-private","Cork","1986","Number of Persons Resident","Number","11847"
"Non-private","Cork","1991","Number of Households","Number","446"
"Non-private","Cork","1991","Number of Persons Resident","Number","11128"
"Non-private","Cork","1996","Number of Households","Number","474"
"Non-private","Cork","1996","Number of Persons Resident","Number","10024"
"Non-private","Cork","2002","Number of Households","Number","507"
"Non-private","Cork","2002","Number of Persons Resident","Number","10855"
"Non-private","Cork","2006","Number of Households","Number","481"
"Non-private","Cork","2006","Number of Persons Resident","Number","10678"
"Non-private","Cork","2011","Number of Households","Number","445"
"Non-private","Cork","2011","Number of Persons Resident","Number","11058"
"Non-private","Cork","2016","Number of Households","Number","466"
"Non-private","Cork","2016","Number of Persons Resident","Number","12200"
"Non-private","Cork City","1926","Number of Households","Number",""
"Non-private","Cork City","1926","Number of Persons Resident","Number","7409"
"Non-private","Cork City","1936","Number of Households","Number",""
"Non-private","Cork City","1936","Number of Persons Resident","Number","7224"
"Non-private","Cork City","1946","Number of Households","Number",""
"Non-private","Cork City","1946","Number of Persons Resident","Number","6758"
"Non-private","Cork City","1961","Number of Households","Number",""
"Non-private","Cork City","1961","Number of Persons Resident","Number","4214"
"Non-private","Cork City","1966","Number of Households","Number",""
"Non-private","Cork City","1966","Number of Persons Resident","Number","9107"
"Non-private","Cork City","1971","Number of Households","Number",""
"Non-private","Cork City","1971","Number of Persons Resident","Number","7225"
"Non-private","Cork City","1979","Number of Households","Number","146"
"Non-private","Cork City","1979","Number of Persons Resident","Number","6679"
"Non-private","Cork City","1981","Number of Households","Number","144"
"Non-private","Cork City","1981","Number of Persons Resident","Number","6301"
"Non-private","Cork City","1986","Number of Households","Number","155"
"Non-private","Cork City","1986","Number of Persons Resident","Number","6027"
"Non-private","Cork City","1991","Number of Households","Number","157"
"Non-private","Cork City","1991","Number of Persons Resident","Number","5285"
"Non-private","Cork City","1996","Number of Households","Number","158"
"Non-private","Cork City","1996","Number of Persons Resident","Number","4750"
"Non-private","Cork City","2002","Number of Households","Number","161"
"Non-private","Cork City","2002","Number of Persons Resident","Number","4976"
"Non-private","Cork City","2006","Number of Households","Number","149"
"Non-private","Cork City","2006","Number of Persons Resident","Number","4633"
"Non-private","Cork City","2011","Number of Households","Number","158"
"Non-private","Cork City","2011","Number of Persons Resident","Number","4718"
"Non-private","Cork City","2016","Number of Households","Number","148"
"Non-private","Cork City","2016","Number of Persons Resident","Number","4900"
"Non-private","Cork County","1926","Number of Households","Number",""
"Non-private","Cork County","1926","Number of Persons Resident","Number","15368"
"Non-private","Cork County","1936","Number of Households","Number",""
"Non-private","Cork County","1936","Number of Persons Resident","Number","14824"
"Non-private","Cork County","1946","Number of Households","Number",""
"Non-private","Cork County","1946","Number of Persons Resident","Number","15788"
"Non-private","Cork County","1961","Number of Households","Number",""
"Non-private","Cork County","1961","Number of Persons Resident","Number","11959"
"Non-private","Cork County","1966","Number of Households","Number",""
"Non-private","Cork County","1966","Number of Persons Resident","Number","6652"
"Non-private","Cork County","1971","Number of Households","Number",""
"Non-private","Cork County","1971","Number of Persons Resident","Number","5291"
"Non-private","Cork County","1979","Number of Households","Number","263"
"Non-private","Cork County","1979","Number of Persons Resident","Number","5926"
"Non-private","Cork County","1981","Number of Households","Number","220"
"Non-private","Cork County","1981","Number of Persons Resident","Number","6276"
"Non-private","Cork County","1986","Number of Households","Number","248"
"Non-private","Cork County","1986","Number of Persons Resident","Number","5820"
"Non-private","Cork County","1991","Number of Households","Number","289"
"Non-private","Cork County","1991","Number of Persons Resident","Number","5843"
"Non-private","Cork County","1996","Number of Households","Number","316"
"Non-private","Cork County","1996","Number of Persons Resident","Number","5274"
"Non-private","Cork County","2002","Number of Households","Number","346"
"Non-private","Cork County","2002","Number of Persons Resident","Number","5879"
"Non-private","Cork County","2006","Number of Households","Number","332"
"Non-private","Cork County","2006","Number of Persons Resident","Number","6045"
"Non-private","Cork County","2011","Number of Households","Number","287"
"Non-private","Cork County","2011","Number of Persons Resident","Number","6340"
"Non-private","Cork County","2016","Number of Households","Number","318"
"Non-private","Cork County","2016","Number of Persons Resident","Number","7300"
"Non-private","Kerry","1926","Number of Households","Number",""
"Non-private","Kerry","1926","Number of Persons Resident","Number","5851"
"Non-private","Kerry","1936","Number of Households","Number",""
"Non-private","Kerry","1936","Number of Persons Resident","Number","5578"
"Non-private","Kerry","1946","Number of Households","Number",""
"Non-private","Kerry","1946","Number of Persons Resident","Number","5998"
"Non-private","Kerry","1961","Number of Households","Number",""
"Non-private","Kerry","1961","Number of Persons Resident","Number","4606"
"Non-private","Kerry","1966","Number of Households","Number",""
"Non-private","Kerry","1966","Number of Persons Resident","Number","4927"
"Non-private","Kerry","1971","Number of Households","Number",""
"Non-private","Kerry","1971","Number of Persons Resident","Number","3860"
"Non-private","Kerry","1979","Number of Households","Number","125"
"Non-private","Kerry","1979","Number of Persons Resident","Number","3646"
"Non-private","Kerry","1981","Number of Households","Number","140"
"Non-private","Kerry","1981","Number of Persons Resident","Number","3907"
"Non-private","Kerry","1986","Number of Households","Number","167"
"Non-private","Kerry","1986","Number of Persons Resident","Number","4165"
"Non-private","Kerry","1991","Number of Households","Number","184"
"Non-private","Kerry","1991","Number of Persons Resident","Number","4038"
"Non-private","Kerry","1996","Number of Households","Number","310"
"Non-private","Kerry","1996","Number of Persons Resident","Number","6327"
"Non-private","Kerry","2002","Number of Households","Number","321"
"Non-private","Kerry","2002","Number of Persons Resident","Number","7067"
"Non-private","Kerry","2006","Number of Households","Number","298"
"Non-private","Kerry","2006","Number of Persons Resident","Number","6554"
"Non-private","Kerry","2011","Number of Households","Number","226"
"Non-private","Kerry","2011","Number of Persons Resident","Number","4841"
"Non-private","Kerry","2016","Number of Households","Number","270"
"Non-private","Kerry","2016","Number of Persons Resident","Number","7003"
"Non-private","Limerick","1926","Number of Households","Number",""
"Non-private","Limerick","1926","Number of Persons Resident","Number","8935"
"Non-private","Limerick","1936","Number of Households","Number",""
"Non-private","Limerick","1936","Number of Persons Resident","Number","7451"
"Non-private","Limerick","1946","Number of Households","Number",""
"Non-private","Limerick","1946","Number of Persons Resident","Number","8921"
"Non-private","Limerick","1961","Number of Households","Number",""
"Non-private","Limerick","1961","Number of Persons Resident","Number","5829"
"Non-private","Limerick","1966","Number of Households","Number",""
"Non-private","Limerick","1966","Number of Persons Resident","Number","5668"
"Non-private","Limerick","1971","Number of Households","Number",""
"Non-private","Limerick","1971","Number of Persons Resident","Number","4944"
"Non-private","Limerick","1979","Number of Households","Number","165"
"Non-private","Limerick","1979","Number of Persons Resident","Number","6216"
"Non-private","Limerick","1981","Number of Households","Number","164"
"Non-private","Limerick","1981","Number of Persons Resident","Number","6130"
"Non-private","Limerick","1986","Number of Households","Number","187"
"Non-private","Limerick","1986","Number of Persons Resident","Number","5092"
"Non-private","Limerick","1991","Number of Households","Number","152"
